iter	RMSE
181	0.1946839322
182	0.1936949192
183	0.1923334037
184	0.1913075558
185	0.1900894222
186	0.1888694791
187	0.1875902069
188	0.1859746368
189	0.1853211118
190	0.1838004706
191	0.1826375111
192	0.1812417997
193	0.1805487457
194	0.1794458745
195	0.1783822938
196	0.1775974508
197	0.1766376614
198	0.1759686652
199	0.174611366
200	0.1735493296
201	0.1728778584
202	0.1719012853
203	0.1708780347
204	0.1696155005
205	0.1687882855
206	0.1675339697
207	0.1665790331
208	0.1653727426
209	0.1643128646
210	0.1636397924
211	0.1631649974
212	0.1627906411
213	0.1615394426
214	0.1605067814
215	0.1595435737
216	0.1582467151
217	0.1572967033
218	0.1561367706
219	0.1552203134
220	0.1539504564
221	0.1528743789
222	0.1522037172
223	0.1512617729
224	0.1504467522
225	0.1495899303
226	0.1488996562
227	0.1484005208
228	0.1479249013
229	0.1472755116
230	0.1470378505
231	0.1465153364
232	0.1462291085
233	0.1458543168
234	0.1450018524
235	0.1443027341
236	0.1439642676
237	0.1433353476
238	0.142831597
239	0.1420646493
240	0.1411048643
241	0.1403745336
242	0.140126397
243	0.1398797967
244	0.1395222666
245	0.1391003604
246	0.1382675441
247	0.1375044635
248	0.137300591
249	0.1365417642
250	0.1358116405
251	0.135215899
252	0.134988445
253	0.134068798
254	0.1339560353
255	0.1337391061
256	0.133384772
257	0.1332306886
258	0.1330414805
259	0.1325901152
260	0.1323011444
261	0.1317728475
262	0.1310190498
263	0.1302665733
264	0.1294080317
265	0.128539564
266	0.1277115814
267	0.1270993838
268	0.126875074
269	0.125988733
270	0.1258111567
271	0.1256376031
272	0.1249622084
273	0.1242498864
274	0.1241024241
275	0.1236267604
276	0.1228492191
277	0.1226159715
278	0.1218927622
279	0.1215850212
280	0.1211549286
281	0.1209879249
282	0.1205877997
283	0.1198282196
284	0.1192080781
285	0.118885591
286	0.1187517783
287	0.1181458779
288	0.1179981472
289	0.1173393356
290	0.1165866772
291	0.1160501987
292	0.1154513987
293	0.1147560527
294	0.1141297236
295	0.1135593457
296	0.1129569378
297	0.1124354634
298	0.1119496508
299	0.1118189581
300	0.1111016121
301	0.1108791077
302	0.1102532602
303	0.1096548993
304	0.1094804714
305	0.1089460843
306	0.1083214987
307	0.1079011582
308	0.1076721839
309	0.1075643014
310	0.1073721031
311	0.107206926
312	0.1067735368
313	0.1062252759
314	0.1059861738
315	0.1054455734
316	0.1052438332
317	0.1051084119
318	0.1049380041
319	0.1044273919
320	0.1038357048
321	0.103348075
322	0.1029976263
323	0.1028483385
324	0.1022770303
325	0.101709328
326	0.1015620198
327	0.1010495933
328	0.1009109808
329	0.1008294814
330	0.1007582008
331	0.1002860598
332	0.1002100639
333	0.09973818767
334	0.09965779202
335	0.09959149174
336	0.09905173565
337	0.09892082748
338	0.09880357871
339	0.09834374069
340	0.09827984474
341	0.09778466282
