delete_id,keep_id,reason,candidate_rows_deleted,material,lubricant,cof_value,potential,speed_value,temperature,delete_literature_id,keep_literature_id,delete_source,keep_source,delete_source_figure,keep_source_figure,delete_review_status,keep_review_status,delete_record_origin,keep_record_origin
182,405,row import superseded by grounded record,0,HOPG,"[P6,6,6,14][TFSI]",0.014,0 V,6,298 K,18,75,Supporting Information for Potential-Dependent Superlubricity of Ionic Liquids on a Graphite Surface,Fig. 2C,Row 133,Fig. 2c,pending_review,approved,,review_promoted_candidate
183,406,row import superseded by grounded record,0,HOPG,"[P6,6,6,14][TFSI]",0.006,-1 V,6,298 K,18,75,Supporting Information for Potential-Dependent Superlubricity of Ionic Liquids on a Graphite Surface,Fig. 2C,Row 134,Fig. 2c,pending_review,approved,,review_promoted_candidate
184,409,row import superseded by grounded record,0,HOPG,"[P4,4,4,1][TFSI]",0.018,1 V,6,298 K,18,75,Supporting Information for Potential-Dependent Superlubricity of Ionic Liquids on a Graphite Surface,Fig. 2D,Row 135,Fig. 2d,pending_review,approved,,review_promoted_candidate
185,408,row import superseded by grounded record,0,HOPG,"[P4,4,4,1][TFSI]",0.018,0 V,6,298 K,18,75,Supporting Information for Potential-Dependent Superlubricity of Ionic Liquids on a Graphite Surface,Fig. 2D,Row 136,Fig. 2d,pending_review,approved,,review_promoted_candidate
186,410,row import superseded by grounded record,0,HOPG,"[P4,4,4,1][TFSI]",0.018,-1 V,6,298 K,18,75,Supporting Information for Potential-Dependent Superlubricity of Ionic Liquids on a Graphite Surface,Fig. 2D,Row 137,Fig. 2d,pending_review,approved,,review_promoted_candidate
187,333,row import superseded by grounded record,0,Au(111),[Pyr14][FAP],0.19,-2 V,6,298 K,19,67,Supporting Information for Control of Nanoscale Friction on Gold in an Ionic Liquid by a Potential-Dependent Ionic Lubricant Layer,Fig. 2,Row 138,Fig. 2,pending_review,approved,cached_record,review_promoted_candidate
188,334,row import superseded by grounded record,0,Au(111),[Pyr14][FAP],0.2,-1 V,6,298 K,19,67,Supporting Information for Control of Nanoscale Friction on Gold in an Ionic Liquid by a Potential-Dependent Ionic Lubricant Layer,Fig. 2,Row 139,Fig. 2,pending_review,approved,cached_record,review_promoted_candidate
189,335,row import superseded by grounded record,0,Au(111),[Pyr14][FAP],0.28,-0.16 V,6,298 K,19,67,Supporting Information for Control of Nanoscale Friction on Gold in an Ionic Liquid by a Potential-Dependent Ionic Lubricant Layer,Fig. 2,Row 140,Fig. 2,pending_review,approved,cached_record,review_promoted_candidate
190,336,row import superseded by grounded record,0,Au(111),[Pyr14][FAP],0.45,1 V,6,298 K,19,67,Supporting Information for Control of Nanoscale Friction on Gold in an Ionic Liquid by a Potential-Dependent Ionic Lubricant Layer,Fig. 2,Row 141,Fig. 2,pending_review,approved,cached_record,review_promoted_candidate
191,337,row import superseded by grounded record,0,Au(111),[Pyr14][FAP],0.59,1.5 V,6,298 K,19,67,Supporting Information for Control of Nanoscale Friction on Gold in an Ionic Liquid by a Potential-Dependent Ionic Lubricant Layer,Fig. 2,Row 142,Fig. 2,pending_review,approved,cached_record,review_promoted_candidate
201,204,duplicate row-import condition,0,Au(111),[BMIM][TFSI],0.634,0 V,6,298 K,76,76,Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces,Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces,Row 152,Row 155,pending_review,pending_review,cached_record,cached_record
202,205,duplicate row-import condition,0,Au(111),[BMIM][TFSI],0.184,1 V,6,298 K,76,76,Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces,Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces,Row 153,Row 156,pending_review,pending_review,cached_record,cached_record
203,206,duplicate row-import condition,0,Au(111),[BMIM][TFSI],0.911,-1 V,6,298 K,76,76,Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces,Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces,Row 154,Row 157,pending_review,pending_review,cached_record,cached_record
259,260,duplicate row-import condition,0,silica,"[P6,6,6,14][(iC8)2PO2] / hexadecane",0.4,0 V,6,298 K,23,23,Addition of low concentrations of an ionic liquid to a base oil reduces friction over multiple length scales: a combined nano- and macrotribology investigation,Addition of low concentrations of an ionic liquid to a base oil reduces friction over multiple length scales: a combined nano- and macrotribology investigation,Row 210,Row 211,pending_review,pending_review,,
319,333,same source and same experimental condition,1,Au(111),[Pyr14][FAP],0.19,-2 V,6 μm/s,298.15 K,67,67,Fig. 2,Fig. 2,Fig. 2,Fig. 2,approved,approved,review_promoted_candidate,review_promoted_candidate
