Cation,anion,compound,surface,h,r_cat,logP_cat,MW_cat,N_rot_cat,velocity,I_ss,Potential,MW_an,Bertz_cat,r_an,N_qN_cat,σ_s,γ_s,TPSA_an,Rq,TPSA_cat,BalJ_cat,logP_an,θ_s,I_H2O,T,x_IL,N_HA_cat,Bertz_an,BalJ_an,μ,friction_bin,cation_bin,stratify_label
[BMIm]+,[TFSI]-,zero,Au(111),2.649913594,3.310978931,1.1127,139.222,3,6.0,0,-1.0,280.147,190.8925906,3.359227186,0,0.7,-0.02,82.38,1.0,8.81,2.422977778,1.0593,60.0,0,298,100.0,1,384.7328028,5.284512596,0.319,4,139.222,4_139.222
[BMIm]+,[PF6]-,zero,mica,2.2,3.310978931,1.1127,139.222,3,20.0,0,0.0,144.962,190.8925906,2.529372901,0,1.77,-0.16,0.0,0.66,8.81,2.422977778,3.3824,0.0,0,298,100.0,1,62.74506838,4.431293675,0.1,2,139.222,2_139.222
"[P6,6,6,14]+",[BMB]-,PC,Au(111),2.9,5.174799948,12.446,483.87,28,6.0,0,-1.0,311.078,319.1282666,3.97427778,0,0.7,-0.02,71.06,0.835,0.0,4.337445108,2.0514,60.0,0,298,3.1,0,682.1804819,1.591434542,0.0881,2,483.87,2_483.87
[BMIm]+,[BF4]-,zero,HOPG,3.9,3.310978931,1.1127,139.222,3,20.0,0,0.0,86.804,190.8925906,2.328453731,0,0.05,-0.0002,0.0,0.89,8.81,2.422977778,1.3,85.0,0,298,100.0,1,19.11941548,3.023715784,0.0028,0,139.222,0_139.222
"[P6,6,6,14]+",[BMB]-,PC,Au(111),2.83,5.174799948,12.446,483.87,28,12.0,0,0.25,311.078,319.1282666,3.97427778,0,0.7,-0.02,71.06,0.835,0.0,4.337445108,2.0514,60.0,0,298,0.67,0,682.1804819,1.591434542,0.1162,3,483.87,3_483.87
[BMIm]+,[TFSI]-,zero,Au(111),1.24452765,3.310978931,1.1127,139.222,3,6.0,0,1.0,280.147,190.8925906,3.359227186,0,0.7,-0.02,82.38,1.0,8.81,2.422977778,1.0593,60.0,0,298,100.0,1,384.7328028,5.284512596,0.299,4,139.222,4_139.222
[BMIm]+,[PF6]-,zero,HOPG,4.4,3.310978931,1.1127,139.222,3,20.0,0,0.0,144.962,190.8925906,2.529372901,0,0.05,-0.0002,0.0,0.89,8.81,2.422977778,3.3824,85.0,0,298,100.0,1,62.74506838,4.431293675,0.0023,0,139.222,0_139.222
[BMIm]+,[TFSI]-,zero,Au(111),0.485455069,3.310978931,1.1127,139.222,3,6.0,0,1.0,280.147,190.8925906,3.359227186,0,0.7,-0.02,82.38,1.0,8.81,2.422977778,1.0593,60.0,0,298,100.0,1,384.7328028,5.284512596,0.119,3,139.222,3_139.222
[DMEA]+,[F]-,zero,mica,0.445396146,2.824148313,-0.8492,74.147,1,30.0,0,0.0,45.017,17.60964047,2.091441062,1,1.77,-0.16,40.13,0.0569,4.44,2.539538861,-1.6339,0.0,0,298,100.0,0,10.26466251,2.187496097,0.607594937,5,74.147,5_74.147
"[P6,6,6,14]+",[BEHP]-,zero,HOPG,3.7,5.174799948,12.446,483.87,28,6.0,0,0.0,321.418,319.1282666,4.32349866,0,0.05,-0.0002,58.59,0.89,0.0,4.337445108,4.9208,85.0,0,298,100.0,0,259.4505415,4.075382025,0.012,0,483.87,0_483.87
[BMIm]+,[AOT]-,H2O,Au(111),2.0,3.310978931,1.1127,139.222,3,6.0,0,-0.5,421.576,190.8925906,4.637037402,0,0.7,-0.02,109.8,0.2,8.81,2.422977778,3.8095,60.0,1,298,16.5,1,544.7574562,4.726289834,0.312,4,139.222,4_139.222
"[Py1,4]+",[FAP]-,zero,Au(111),4.086022,3.423597497,2.0269,142.266,3,6.0,0,1.0,445.004,92.90138861,3.775688868,1,0.7,-0.02,0.0,1.0,0.0,2.21874475,7.1942,60.0,0,298,100.0,0,468.4882895,7.871070033,0.45,5,142.266,5_142.266
[EA]+,[N]-,zero,mica,2.884955752,2.431285504,-0.7518,46.093,0,40.0,0,0.0,62.004,2.754887502,2.192174955,1,1.77,-0.16,66.2,0.0569,27.64,1.632993162,-0.2391,0.0,0,298,100.0,0,26.26466251,2.803039488,2.3,7,46.093,7_46.093
"[P6,6,6,14]+",[AOT]-,(CH2CO2Et)2,stainless steel,0.69,5.174799948,12.446,483.87,28,6.0,1,1.24,421.576,319.1282666,4.637037402,0,0.07,0.01,109.8,0.9,0.0,4.337445108,3.8095,72.0,0,298,1.002,0,544.7574562,4.726289834,0.36,4,483.87,4_483.87
[EA]+,[N]-,zero,mica,0.75,2.431285504,-0.7518,46.093,0,30.0,0,0.0,62.004,2.754887502,2.192174955,1,1.77,-0.16,66.2,0.0569,27.64,1.632993162,-0.2391,0.0,0,298,100.0,0,26.26466251,2.803039488,0.563,5,46.093,5_46.093
