Cation,anion,compound,surface,h,r_cat,logP_cat,MW_cat,N_rot_cat,velocity,I_ss,Potential,MW_an,Bertz_cat,r_an,N_qN_cat,σ_s,γ_s,TPSA_an,Rq,TPSA_cat,BalJ_cat,logP_an,θ_s,I_H2O,T,x_IL,N_HA_cat,Bertz_an,BalJ_an,μ,friction_bin,cation_bin,stratify_label
[DMEA]+,[F]-,zero,mica,1.053533191,2.824148313,-0.8492,74.147,1,30.0,0,0.0,45.017,17.60964047,2.091441062,1,1.77,-0.16,40.13,0.0569,4.44,2.539538861,-1.6339,0.0,0,298,100.0,0,10.26466251,2.187496097,1.778169014,7,74.147,7_74.147
[EA]+,[N]-,zero,mica,0.1,2.431285504,-0.7518,46.093,0,1.0,0,0.0,62.004,2.754887502,2.192174955,1,1.77,-0.16,66.2,0.0569,27.64,1.632993162,-0.2391,0.0,0,298,100.0,0,26.26466251,2.803039488,0.019871158,1,46.093,1_46.093
"[P6,6,6,14]+",[TFSI]-,zero,HOPG,3.0,5.174799948,12.446,483.87,28,6.0,0,-1.0,280.147,319.1282666,3.359227186,0,0.05,-0.0002,82.38,0.89,0.0,4.337445108,1.0593,85.0,0,298,100.0,0,384.7328028,5.284512596,0.006,0,483.87,0_483.87
[EA]+,[N]-,zero,mica,0.4,2.431285504,-0.7518,46.093,0,40.0,0,0.0,62.004,2.754887502,2.192174955,1,1.77,-0.16,66.2,0.0569,27.64,1.632993162,-0.2391,0.0,0,298,100.0,0,26.26466251,2.803039488,0.14,3,46.093,3_46.093
[BMIm]+,[PF6]-,zero,HOPG,7.0,3.310978931,1.1127,139.222,3,20.0,0,0.0,144.962,190.8925906,2.529372901,0,0.05,-0.0002,0.0,0.89,8.81,2.422977778,3.3824,85.0,0,298,100.0,1,62.74506838,4.431293675,0.0013,0,139.222,0_139.222
[BMIm]+,[AOT]-,H2O,Au(111),3.29,3.310978931,1.1127,139.222,3,6.0,0,1.0,421.576,190.8925906,4.637037402,0,0.7,-0.02,109.8,0.2,8.81,2.422977778,3.8095,60.0,1,298,16.5,1,544.7574562,4.726289834,0.001,0,139.222,0_139.222
"[P6,6,6,14]+",[AOT]-,hexadecane,stainless steel,1.05,5.174799948,12.446,483.87,28,6.0,1,0.0,421.576,319.1282666,4.637037402,0,0.07,0.01,109.8,0.9,0.0,4.337445108,3.8095,72.0,0,298,1.299,0,544.7574562,4.726289834,0.54,5,483.87,5_483.87
[EA]+,[N]-,zero,mica,0.28,2.431285504,-0.7518,46.093,0,20.0,0,0.0,62.004,2.754887502,2.192174955,1,1.77,-0.16,66.2,0.0569,27.64,1.632993162,-0.2391,0.0,0,369,100.0,0,26.26466251,2.803039488,0.309,4,46.093,4_46.093
"[P6,6,6,14]+",[BMB]-,PC,Au(111),2.81,5.174799948,12.446,483.87,28,6.0,0,-0.12,311.078,319.1282666,3.97427778,0,0.7,-0.02,71.06,0.835,0.0,4.337445108,2.0514,60.0,0,298,3.1,0,682.1804819,1.591434542,0.1229,3,483.87,3_483.87
[HOC4MPip]+,[TFSI]-,zero,mica,1.608,3.589900502,1.3894,172.292,4,6.0,0,0.0,280.147,119.0069869,3.359227186,1,1.77,-0.16,82.38,0.0569,20.23,2.172199717,1.0593,0.0,0,293,100.0,1,384.7328028,5.284512596,0.16,3,172.292,3_172.292
[EA]+,[F]-,zero,mica,0.537074148,2.431285504,-0.7518,46.093,0,40.0,0,0.0,45.017,2.754887502,2.091441062,1,1.77,-0.16,40.13,0.0569,27.64,1.632993162,-1.6339,0.0,0,298,100.0,0,10.26466251,2.187496097,1.1,6,46.093,6_46.093
[EtA]+,[N]-,zero,mica,2.837894737,2.543129445,-1.7794,62.092,1,30.0,0,0.0,62.004,8.0,2.192174955,1,1.77,-0.16,66.2,0.0569,47.87,1.974744871,-0.2391,0.0,0,298,100.0,1,26.26466251,2.803039488,2.667253521,7,62.092,7_62.092
"[P6,6,6,14]+",[BMB]-,PC,Au(111),2.9,5.174799948,12.446,483.87,28,12.0,0,-1.0,311.078,319.1282666,3.97427778,0,0.7,-0.02,71.06,0.835,0.0,4.337445108,2.0514,60.0,0,298,3.1,0,682.1804819,1.591434542,0.0987,2,483.87,2_483.87
"[P6,6,6,14]+",[TFSI]-,zero,stainless steel,1.224080268,5.174799948,12.446,483.87,28,6.0,1,0.0,280.147,319.1282666,3.359227186,0,0.07,0.01,82.38,0.89,0.0,4.337445108,1.0593,72.0,0,298,100.0,0,384.7328028,5.284512596,0.39,4,483.87,4_483.87
[HMIM]+,[FAP]-,zero,HOPG,0.372,3.540263249,1.8929,167.276,5,6.0,0,0.0,445.004,215.3680851,3.775688868,0,0.05,-0.0002,0.0,0.89,8.81,2.153242802,7.1942,85.0,0,298,100.0,1,468.4882895,7.871070033,0.019,1,167.276,1_167.276
"[P6,6,6,14]+",[BMB]-,PC,Au(111),2.48,5.174799948,12.446,483.87,28,12.0,0,-0.12,311.078,319.1282666,3.97427778,0,0.7,-0.02,71.06,0.835,0.0,4.337445108,2.0514,60.0,0,298,0.67,0,682.1804819,1.591434542,0.1149,3,483.87,3_483.87
[BMIm]+,[PF6]-,zero,mica,0.0,3.310978931,1.1127,139.222,3,20.0,0,0.0,144.962,190.8925906,2.529372901,0,1.77,-0.16,0.0,0.66,8.81,2.422977778,3.3824,0.0,0,298,0.0,1,62.74506838,4.431293675,0.03,1,139.222,1_139.222
"[P4,4,4,1 ]+",[TFSI]-,zero,HOPG,2.4,3.951373459,5.0341,217.357,9,6.0,0,-1.0,280.147,98.62953293,3.359227186,0,0.05,-0.0002,82.38,0.89,0.0,3.889782595,1.0593,85.0,0,298,100.0,0,384.7328028,5.284512596,0.018,1,217.357,1_217.357
