Cation,anion,compound,surface,h,r_cat,logP_cat,MW_cat,N_rot_cat,velocity,I_ss,Potential,MW_an,Bertz_cat,r_an,N_qN_cat,σ_s,γ_s,TPSA_an,Rq,TPSA_cat,BalJ_cat,logP_an,θ_s,I_H2O,T,x_IL,N_HA_cat,Bertz_an,BalJ_an,μ
[HOC3MPip]+,[TFSI]-,zero,mica,0.763,3.47886167,0.9993,158.265,3,6,0,0.0,280.147,108.1303606,3.359227186,1,1.77,-0.16,82.38,0.0569,20.23,2.25045382,1.0593,0,0,293,100,1,384.7328028,5.284512596,0.21
[HOC4Py] +,[OMs]-,zero,mica,0.687,3.360073211,0.7466,152.217,4,6,0,0.0,95.099,186.0140383,2.563925277,0,1.77,-0.16,57.2,0.0569,24.11,2.275801287,-0.8386,0,0,293,100,1,90.06147084,4.062942299,0.24
[HOC3Py] +,[OMs]-,zero,mica,0.564,3.236493461,0.3565,138.19,3,6,0,0.0,95.099,173.8722824,2.563925277,0,1.77,-0.16,57.2,0.0569,24.11,2.426522347,-0.8386,0,0,293,100,1,90.06147084,4.062942299,0.26
[HMIM]+,[FAP]-,zero,stainless steel,4.093645485,3.540263249,1.8929,167.276,5,6,1,0.0,445.004,215.3680851,3.775688868,0,0.07,0.01,0.0,0.89,8.81,2.153242802,7.1942,72,0,298,100,1,468.4882895,7.871070033,1.16
"[P4,4,4,1 ]+",[TFSI]-,zero,stainless steel,3.431438127,3.951373459,5.0341,217.357,9,6,1,0.0,280.147,98.62953293,3.359227186,0,0.07,0.01,82.38,0.89,0.0,3.889782595,1.0593,72,0,298,100,0,384.7328028,5.284512596,0.93
"[Py1,4]+",[FAP]-,zero,Au(111),4.014337,3.423597497,2.0269,142.266,3,6,0,-0.16,445.004,92.90138861,3.775688868,1,0.7,-0.02,0.0,1.0,0.0,2.21874475,7.1942,60,0,298,100,0,468.4882895,7.871070033,0.28
